day,DVS,LAI,TAGP,TWSO,TWLV,TWST,TWRT,TRA,RD,SM,WWLOW,LAT,LON,ELEV,IRRAD,TMIN,TMAX,VAP,RAIN,E0,ES0,ET0,WIND,SNOWDEPTH,year,crop,site
2017-01-03,0.5207390050468638,9.123840920851876,3082.761626659773,0.0,2817.3216152209015,265.4400114388713,3553.6554016136897,0.28422062082873756,98.0,0.3129386,,25.687243,32.639637,-99.0,15460000.0,3.34,19.63,7.76247336757693,0.0,0.31346869797908783,0.2775237439225713,0.28898247745751104,2.55,0.0,2016,wheat,UpperEgypt
2017-01-04,0.5290194664744052,9.281477216624614,3205.7670180930604,0.0,2910.375611789442,295.3914063036185,3650.0371065068944,0.33671900337806304,100.0,0.3129386,,25.687243,32.639637,-99.0,16090000.0,3.34,20.24,7.76247336757693,0.0,0.3782561933293177,0.34056117563094124,0.34196808251775257,3.49,0.0,2016,wheat,UpperEgypt
2017-01-05,0.537519826964672,9.426207113159776,3330.1906673126136,0.0,3003.1872674543474,327.0033998582663,3744.5659292150494,0.2910218026240896,100.0,0.3129386,,25.687243,32.639637,-99.0,15500000.0,5.7,22.31,9.158644183128885,0.0,0.3158186708711242,0.2775548560912201,0.2952682859428536,2.11,0.0,2016,wheat,UpperEgypt
2017-01-06,0.547617159336698,9.54236235784381,3452.688388086873,0.0,3093.233023353746,359.45536473312706,3834.715770332789,0.2808098181483671,100.0,0.3129386,,25.687243,32.639637,-99.0,16090000.0,8.06,24.07,10.77160535392677,0.0,0.3080915681074,0.26656781049300654,0.2846957310549444,1.66,0.0,2016,wheat,UpperEgypt
2017-01-07,0.5591997116077867,9.639823556365574,3573.7105807016146,0.0,3180.6341447682507,393.076435933364,3920.4575284160064,0.27909056222618134,100.0,0.3129386,,25.687243,32.639637,-99.0,15990000.0,5.67,20.3,9.139592581431737,0.0,0.29784244579036245,0.25928540460023786,0.28278476757222976,2.42,0.0,2016,wheat,UpperEgypt
2017-01-08,0.5685616438356166,9.742640063648471,3702.2091048925436,0.0,3271.5345948911963,430.6745100013474,4007.5847697363,0.27242795455827085,100.0,0.3129386,,25.687243,32.639637,-99.0,16570000.0,2.78,17.01,7.460160247282202,0.0,0.2932552229660711,0.25628456035012703,0.2758688702185245,3.13,0.0,2016,wheat,UpperEgypt
2017-01-09,0.5756957462148523,9.848032970955487,3837.074794605736,0.0,3365.327373155448,471.74742145028785,4095.816481027265,0.23527656551171,100.0,0.3129386,,25.687243,32.639637,-99.0,16650000.0,2.3,16.6,7.209357642889314,0.0,0.24820555975121855,0.21150032836991364,0.2381089344432122,2.07,0.0,2016,wheat,UpperEgypt
2017-01-10,0.5825090122566692,9.945853567034522,3974.076568770363,0.0,3459.3579731037303,514.7185956666325,4183.0202220096535,0.2275570257033453,100.0,0.3129386,,25.687243,32.639637,-99.0,16280000.0,4.59,19.32,8.476583135493275,0.0,0.24455115976316505,0.20625548059070303,0.23017713241951424,1.38,0.0,2016,wheat,UpperEgypt
2017-01-11,0.5911283345349677,10.0260551822456,4108.983167571803,0.0,3550.777169338883,558.2059982329197,4266.65665667325,0.27491308563457506,100.0,0.3129386,,25.687243,32.639637,-99.0,16420000.0,3.82,21.93,8.030151559620197,0.0,0.28971374131363914,0.2502224339623217,0.2779650040731156,1.64,0.0,2016,wheat,UpperEgypt
2017-01-12,0.6004109589041098,10.094866335093831,4244.175946925494,0.0,3640.902716377107,603.273230548387,4347.702791080319,0.3072003894344833,100.0,0.3129386,,25.687243,32.639637,-99.0,16210000.0,8.42,24.65,11.03844683642813,0.0,0.3374299761534748,0.2951936792038009,0.31050563976668766,1.91,0.0,2016,wheat,UpperEgypt
