day,DVS,LAI,TAGP,TWSO,TWLV,TWST,TWRT,TRA,RD,SM,WWLOW,LAT,LON,ELEV,IRRAD,TMIN,TMAX,VAP,RAIN,E0,ES0,ET0,WIND,SNOWDEPTH,year,crop,site
2011-12-23,0.352761565836299,4.260118309850645,1285.749569752867,0.0,1284.4256482985904,1.323921454276552,1711.7449537396712,0.2984233871003039,72.0,0.3129386,,25.68,32.65,-99.0,15150000.0,6.76,22.04,6.130261907523127,0.0,0.35759250078801136,0.31986122946421397,0.34986781603379147,2.25,0.0,2011,wheat,UpperEgypt
2011-12-24,0.36301067615658367,4.602268490438637,1380.9900236986382,0.0,1376.8986700791288,4.091353619509319,1830.9640455435785,0.30745264376733344,74.0,0.3129386,,25.68,32.65,-99.0,15250000.0,6.23,20.7,6.329281168651989,0.0,0.35200930742769204,0.3148231668517878,0.35179943756007315,2.63,0.0,2011,wheat,UpperEgypt
2011-12-25,0.3725943060498221,4.946596135559869,1478.1458198631492,0.0,1469.9601957875695,8.185624075579618,1951.9513985190258,0.2942525599565734,76.0,0.3129386,,25.68,32.65,-99.0,15530000.0,4.72,18.88,5.94981325314441,0.0,0.32821035366889156,0.29181827765894364,0.3298658065487426,2.71,0.0,2011,wheat,UpperEgypt
2011-12-26,0.3809928825622776,5.294211902576078,1577.4983939037954,0.0,1563.910403089248,13.58799081454756,2075.075972521532,0.2985394807076796,78.0,0.3129386,,25.68,32.65,-99.0,15570000.0,5.24,20.8,6.548158564241984,0.0,0.3437996993987281,0.30622449971100335,0.328907203650098,2.37,0.0,2011,wheat,UpperEgypt
2011-12-27,0.3902597864768683,5.637869953059398,1676.8462232292557,0.0,1656.7909572739288,20.055265955326774,2197.6729112166654,0.2987992982424866,80.0,0.3129386,,25.68,32.65,-99.0,15360000.0,6.03,22.44,7.979350284338683,0.0,0.34374890313430295,0.3056346743808037,0.3244644608440294,2.27,0.0,2011,wheat,UpperEgypt
2011-12-28,0.4003914590747331,5.964836709817013,1775.654817450477,0.0,1747.9984645293837,27.656352921093116,2319.0346669927235,0.28532155575692775,82.0,0.3129386,,25.68,32.65,-99.0,15040000.0,5.66,22.94,6.941105817331951,0.0,0.3178797753117725,0.2805055146911729,0.30623015318128727,1.75,0.0,2011,wheat,UpperEgypt
2011-12-29,0.4105693950177936,6.274664232959889,1874.470912069859,0.0,1837.9348028760103,36.536109193848695,2439.6349274984605,0.2820522556622543,84.0,0.3129386,,25.68,32.65,-99.0,14380000.0,10.18,24.56,5.036919662524006,0.0,0.296615968381494,0.25852281527935095,0.2998615781824488,1.28,0.0,2011,wheat,UpperEgypt
2011-12-30,0.42293238434163705,6.560047326857451,1971.2384461860056,0.0,1924.7493561226654,46.489090063340136,2553.3740963309847,0.2992138357498926,86.0,0.3129386,,25.68,32.65,-99.0,13740000.0,11.56,25.11,5.093418710564674,0.0,0.301898519127664,0.26482585432924427,0.3157043422682239,1.36,0.0,2011,wheat,UpperEgypt
2011-12-31,0.43598220640569396,6.836407199692802,2067.4532345220946,0.0,2009.5495023025858,57.90373221950865,2661.4277299328437,0.40055574919146053,88.0,0.3129386,,25.68,32.65,-99.0,15160000.0,9.88,22.63,7.112157505471245,0.0,0.3808860333446034,0.3416095353162568,0.4199251235676808,3.1,0.0,2011,wheat,UpperEgypt
2012-01-01,0.44755160142348754,7.127276840560616,2171.111090420654,0.0,2099.1828199721076,71.9282704485463,2772.3896597855073,0.3312091642868054,90.0,0.3129386,,25.68,32.65,-99.0,15540000.0,4.91,18.92,5.761401624571477,0.0,0.34295501275982876,0.3064359993979643,0.34517737139979443,2.85,0.0,2011,wheat,UpperEgypt
2012-01-02,0.4560320284697509,7.426229055345255,2281.6572677401336,0.0,2193.1397885573538,88.51747918278005,2885.8075183191477,0.33008631945307343,92.0,0.3129386,,25.68,32.65,-99.0,15440000.0,4.53,18.96,6.590826002796697,0.0,0.3561297251565381,0.3199978050587431,0.342190671055437,3.22,0.0,2011,wheat,UpperEgypt
2012-01-03,0.4643914590747331,7.719212843346876,2393.873812651732,0.0,2287.3015945969405,106.5722180547913,2997.414059032378,0.3303339984287006,94.0,0.3129386,,25.68,32.65,-99.0,15620000.0,5.36,20.22,7.132523958014514,0.0,0.3564310095530669,0.3189393202970222,0.3409032930045926,2.89,0.0,2011,wheat,UpperEgypt
2012-01-04,0.4734946619217082,7.997166393551348,2506.739043201203,0.0,2380.8032638540503,125.93577934715253,3106.2768747770365,0.3124638093466166,96.0,0.3129386,,25.68,32.65,-99.0,15480000.0,4.44,20.18,6.72030613774809,0.0,0.34394416885346313,0.30721358948197774,0.32125283252037484,2.47,0.0,2011,wheat,UpperEgypt
2012-01-05,0.48225622775800714,8.261106472955614,2621.677042596643,0.0,2474.6863832088015,146.99065938784128,3213.497051691559,0.3229840974780194,98.0,0.3129386,,25.68,32.65,-99.0,15870000.0,4.31,19.43,6.681709370913714,0.0,0.3504925198364527,0.3132393428221795,0.3310262746494709,2.84,0.0,2011,wheat,UpperEgypt
2012-01-06,0.4907046263345196,8.506129560106146,2739.008717191463,0.0,2569.212340990425,169.79637620103787,3319.4834779977805,0.2760674134083489,100.0,0.3129386,,25.68,32.65,-99.0,15840000.0,3.53,18.71,5.444350082052457,0.0,0.2912253533288103,0.25473488149153306,0.2822077853996383,1.83,0.0,2011,wheat,UpperEgypt
2012-01-07,0.4986192170818506,8.741599839672482,2858.763202096674,0.0,2664.398613450647,194.36458864602687,3424.347588540019,0.2882348315460012,100.0,0.3129386,,25.68,32.65,-99.0,16190000.0,5.23,19.52,4.859833458825104,0.0,0.2880788037243388,0.24960312260668824,0.2939884007037033,1.67,0.0,2011,wheat,UpperEgypt
2012-01-08,0.5074270462633452,8.97096247305717,2978.724950398619,0.0,2758.5375667588337,220.18738363978528,3526.3724013752726,0.32117425199466987,100.0,0.3129386,,25.68,32.65,-99.0,16110000.0,4.85,18.9,4.921910434186813,0.0,0.3192337224816229,0.2814125063586139,0.3269453356696542,2.22,0.0,2011,wheat,UpperEgypt
2012-01-09,0.5158790035587189,9.183741785823585,3101.010979400632,0.0,2853.1254907500797,247.88548865055253,3627.0428886884747,0.2748881928284615,100.0,0.3129386,,25.68,32.65,-99.0,16070000.0,2.91,17.4,5.6029501516685425,0.0,0.2852944389506581,0.2491902639191899,0.2793692116796584,2.08,0.0,2011,wheat,UpperEgypt
2012-01-10,0.5231067615658362,9.39297981058249,3227.053391268558,0.0,2949.25900314037,277.79438812818773,3727.6048123380815,0.2869881083560988,100.0,0.3129386,,25.68,32.65,-99.0,16300000.0,3.76,18.67,5.476555607579792,0.0,0.29855461771510644,0.260913722414097,0.291239753101609,1.91,0.0,2011,wheat,UpperEgypt
2012-01-11,0.5310889679715302,9.574631747601737,3353.411958682865,0.0,3044.4677487468366,308.94420993602847,3825.7448622654915,0.32802478824708214,100.0,0.3129386,,25.68,32.65,-99.0,16470000.0,3.02,17.16,5.208102792809635,0.0,0.34005439701063017,0.3031152856770128,0.33249774108161156,2.95,0.0,2011,wheat,UpperEgypt
2012-01-12,0.5382704626334519,9.730933774876073,3482.913798054466,0.0,3140.725258889097,342.188539165369,3923.373528918577,0.31333226878454945,100.0,0.3129386,,25.68,32.65,-99.0,16640000.0,1.43,16.52,5.051931549712348,0.0,0.34138174628948453,0.3051750494304413,0.3173109967299273,2.92,0.0,2011,wheat,UpperEgypt
2012-01-13,0.5446583629893238,9.852279637588023,3615.3816181691673,0.0,3237.972907711032,377.4087104581352,4020.5863276389664,0.3085652618458299,100.0,0.3129386,,25.68,32.65,-99.0,16330000.0,1.77,16.35,5.47252071920288,0.0,0.3338009107409827,0.2981848490528113,0.3122727371222819,3.09,0.0,2011,wheat,UpperEgypt
2012-01-14,0.5511067615658363,9.961405158588823,3749.2425226718465,0.0,3335.151647155649,414.09087551619757,4116.488726375895,0.2777903744339823,100.0,0.3129386,,25.68,32.65,-99.0,16750000.0,1.11,16.84,5.6029501516685425,0.0,0.3045865953753016,0.2681405513615412,0.28096631061720506,2.31,0.0,2011,wheat,UpperEgypt
2012-01-15,0.5574946619217082,10.020493572813125,3869.143831270905,0.0,3421.2091386672473,447.9346926036576,4200.322928447451,0.2936934191818473,100.0,0.3129386,,25.68,32.65,-99.0,16590000.0,2.38,18.1,5.154302164369737,0.0,0.31713691480598616,0.27978060207245464,0.2969620865467092,2.04,0.0,2011,wheat,UpperEgypt
2012-01-16,0.5647829181494661,10.02256581801471,3970.560827117103,0.0,3493.1727406626205,477.3880864544824,4269.535300889591,0.3138142159077435,100.0,0.3129386,,25.68,32.65,-99.0,16970000.0,2.5,17.69,5.131395781310536,0.0,0.33593576682598614,0.2978701957286819,0.31730352655589456,2.43,0.0,2011,wheat,UpperEgypt
2012-01-17,0.571967971530249,10.017304300028044,4070.561016156817,0.0,3563.200585619472,507.36043053734494,4335.910656783976,0.30490704176214234,100.0,0.3129386,,25.68,32.65,-99.0,16530000.0,2.96,18.24,4.377720755273687,0.0,0.3220294620848646,0.2844555187464336,0.3083054394184809,1.94,0.0,2011,wheat,UpperEgypt
2012-01-18,0.5795124555160142,9.995142903245052,4165.109167793168,0.0,3628.543259217463,536.5659085757053,4396.962154001345,0.36285181816539236,100.0,0.3129386,,25.68,32.65,-99.0,16820000.0,4.63,20.89,4.878019002091881,0.0,0.392260981219415,0.3519177561549156,0.36693703976133485,2.28,0.0,2011,wheat,UpperEgypt
2012-01-19,0.588594306049822,9.997921405423215,4270.158934670249,0.0,3700.1318874329886,570.027047237261,4462.849234687069,0.3764672016775256,100.0,0.3129386,,25.68,32.65,-99.0,16880000.0,4.13,20.26,6.926188962846144,0.0,0.43486011485003206,0.39491930046546886,0.38070035834668586,3.48,0.0,2011,wheat,UpperEgypt
2012-01-20,0.5972740213523131,10.055558798771633,4399.252697416185,0.0,3786.609166784057,612.6435306321277,4541.009122164928,0.3728200576631133,100.0,0.3129386,,25.68,32.65,-99.0,17200000.0,3.07,17.67,5.30933857949867,0.0,0.4107190859430988,0.37185644648276567,0.3769036956152839,3.62,0.0,2011,wheat,UpperEgypt
2012-01-21,0.6046548042704626,10.140759911933397,4543.7835179472395,0.0,3881.825944405302,661.9575735419373,4625.588814845635,0.3307268190126795,100.0,0.3129386,,25.68,32.65,-99.0,17380000.0,2.49,18.57,5.468488461690471,0.0,0.36869838690297296,0.3292642861348326,0.33421169567021336,2.54,0.0,2011,wheat,UpperEgypt
2012-01-22,0.6121494661921708,10.222110825248283,4691.77365214866,0.0,3977.9273109347437,713.8463412139172,4709.703572637654,0.3488341222199756,100.0,0.3129386,,25.68,32.65,-99.0,17540000.0,1.33,17.57,5.070752110192744,0.0,0.4005268588278209,0.3618596060693773,0.3523763287584928,3.13,0.0,2011,wheat,UpperEgypt
2012-01-23,0.6188754448398577,10.300098614586457,4843.461372450987,0.0,4074.9785087121227,768.4828637388645,4793.383890154758,0.31085898922813965,100.0,0.3129386,,25.68,32.65,-99.0,17160000.0,3.72,19.23,6.812764012597957,0.0,0.3430254416190558,0.3031379400844093,0.3139056559208517,2.36,0.0,2011,wheat,UpperEgypt
2012-01-24,0.6270427046263346,10.363083883044638,4993.641765700358,0.0,4169.775802506851,823.865963193507,4874.024468651648,0.278039114255517,100.0,0.3129386,,25.68,32.65,-99.0,16920000.0,4.83,22.3,5.863506598302033,0.0,0.30182260847187653,0.260469244913747,0.28068724308409776,1.16,0.0,2011,wheat,UpperEgypt
