day,DVS,LAI,TAGP,TWSO,TWLV,TWST,TWRT,TRA,RD,SM,WWLOW,WLV,DWLV,LAT,LON,ELEV,IRRAD,TMIN,TMAX,VAP,RAIN,E0,ES0,ET0,WIND,SNOWDEPTH,year,crop,site
2009-12-17,0.3497813765182186,2.2971955748357225,851.2907731752025,0.0,850.8131758650823,0.4775973101202189,1137.2595528182599,0.18401049266304217,62.0,0.3129386,,850.8131758650823,0.0,25.687243,32.639637,-99.0,15500000.0,8.68,21.08,11.23476693455139,0.0,0.2830607496447256,0.24404945794782956,0.28558643580071424,2.9,0.0,2009,wheat,UpperEgypt
2009-12-18,0.36182995951417,2.486274496538032,923.1342540029336,0.0,920.8424061251972,2.291847877736514,1227.3268449817338,0.1787686260325962,64.0,0.3129386,,920.8424061251972,0.0,25.687243,32.639637,-99.0,15470000.0,5.69,21.14,9.15228976360282,0.0,0.2804047873359476,0.24272570087531076,0.2654968610765235,1.93,0.0,2009,wheat,UpperEgypt
2009-12-19,0.37269230769230766,2.680817389443472,998.238982138537,0.0,992.8953294235082,5.343652715028857,1320.9100755399197,0.1729004476815476,66.0,0.3129386,,992.8953294235082,0.0,25.687243,32.639637,-99.0,15670000.0,7.76,23.9,10.55359201255926,0.0,0.2671084047863214,0.22686487348291343,0.2467476715252001,1.2,0.0,2009,wheat,UpperEgypt
2009-12-20,0.38551012145748986,2.87607882498415,1074.7266741453807,0.0,1065.2143796237594,9.512294521621133,1415.694209751436,0.19624646114680763,68.0,0.3129386,,1065.2143796237594,0.0,25.687243,32.639637,-99.0,15360000.0,10.34,27.96,12.56221774913212,0.0,0.29378741251935003,0.2517211175431118,0.2703519044970305,1.1,0.0,2009,wheat,UpperEgypt
2009-12-21,0.40101619433198377,3.067959509996791,1151.2137752968354,0.0,1136.2812999988118,14.93247529802354,1509.8653381081729,0.2373032068829913,70.0,0.3129386,,1136.2812999988118,0.0,25.687243,32.639637,-99.0,15080000.0,13.6,29.64,15.57578341061305,0.0,0.35025949154386027,0.30718925527937924,0.31700965116131774,1.58,0.0,2009,wheat,UpperEgypt
2009-12-22,0.41852226720647767,3.2551944286599497,1227.473686592147,0.0,1205.6275661703519,21.846120421795064,1602.7218211108423,0.2913186193821168,72.0,0.3129386,,1205.6275661703519,0.0,25.687243,32.639637,-99.0,15460000.0,9.38,23.99,11.77867446016734,0.0,0.40725495179786836,0.36685110980135915,0.3788847830084133,4.02,0.0,2009,wheat,UpperEgypt
2009-12-23,0.43203238866396754,3.4570384155127156,1311.7551237380158,0.0,1280.384598338043,31.37052539997279,1698.9227679262162,0.2470325527916612,74.0,0.3129386,,1280.384598338043,0.0,25.687243,32.639637,-99.0,15400000.0,6.44,22.52,9.639800022050407,0.0,0.33757933066239293,0.2991575256393792,0.3131150071756397,2.55,0.0,2009,wheat,UpperEgypt
2009-12-24,0.44375708502024286,3.66668940117861,1401.0323648115095,0.0,1358.0331115476336,42.9992532638759,1795.886928047118,0.2596641870406835,76.0,0.3129386,,1358.0331115476336,0.0,25.687243,32.639637,-99.0,15020000.0,8.31,25.1,10.956301447464249,0.0,0.34151375708388143,0.3022440946946394,0.32138563800519515,2.19,0.0,2009,wheat,UpperEgypt
2009-12-25,0.4572834008097165,3.8757885929795077,1491.6338168345371,0.0,1435.477256659077,56.15656017546017,1890.1446500492452,0.24441836417304474,78.0,0.3129386,,1435.477256659077,0.0,25.687243,32.639637,-99.0,14850000.0,10.77,25.69,12.92779039243473,0.0,0.3151746893613087,0.2751855660206751,0.2961933782438802,1.88,0.0,2009,wheat,UpperEgypt
2009-12-26,0.4720445344129554,4.084397920035604,1583.8866410233381,0.0,1512.739970383557,71.14667063978123,1981.4759611594438,0.2538725572914704,80.0,0.3129386,,1512.739970383557,0.0,25.687243,32.639637,-99.0,15550000.0,9.84,26.89,12.14858723144286,0.0,0.3218744528731336,0.2798946825324108,0.3019196631603333,1.6,0.0,2009,wheat,UpperEgypt
2009-12-27,0.486914979757085,4.295823955912973,1679.5372316580742,0.0,1591.0459095973968,88.49132206067736,2071.180067929072,0.22574758895730632,82.0,0.3129386,,1591.0459095973968,0.0,25.687243,32.639637,-99.0,15210000.0,11.8,28.64,13.84173783184292,0.0,0.29560509534605534,0.25316055425569267,0.26393840108817185,0.98,0.0,2009,wheat,UpperEgypt
2009-12-28,0.5032874493927125,4.503683210949043,1775.8065144027473,0.0,1668.0308188700153,107.77569553273202,2156.6633999558503,0.2502646948979991,84.0,0.3129386,,1668.0308188700153,0.0,25.687243,32.639637,-99.0,15240000.0,12.25,28.77,14.25853034173743,0.0,0.31881655962769007,0.2760780580534723,0.2882487460017515,1.26,0.0,2009,wheat,UpperEgypt
2009-12-29,0.5198947368421052,4.711528393731748,1874.6527889101303,0.0,1745.0105161969434,129.6422727131868,2239.29293715183,0.29632925374171476,86.0,0.3129386,,1745.0105161969434,0.0,25.687243,32.639637,-99.0,15600000.0,11.42,25.34,13.49815364952609,0.0,0.3483878159759829,0.3062613101597952,0.3367412672730916,2.76,0.0,2009,wheat,UpperEgypt
2009-12-30,0.5347773279352226,4.926157703679092,1979.5819217615738,0.0,1824.5028532144781,155.07906854709557,2321.769546910557,0.30093237328148226,88.0,0.3129386,,1824.5028532144781,0.0,25.687243,32.639637,-99.0,15440000.0,7.93,22.86,10.67665092542782,0.0,0.3606650731735212,0.3213730529043577,0.33773175275224476,3.19,0.0,2009,wheat,UpperEgypt
2009-12-31,0.547242914979757,5.1484449304602355,2091.050367395733,0.0,1906.831455726013,184.21891166971994,2404.650757956524,0.30417023258884135,90.0,0.3129386,,1906.831455726013,0.0,25.687243,32.639637,-99.0,15260000.0,7.7,23.57,10.510458572223328,0.0,0.3674472668857355,0.3284161233011155,0.3374377264666946,2.84,0.0,2009,wheat,UpperEgypt
2010-01-01,0.559902834008097,5.369922614095251,2204.5585086657134,0.0,1988.8602274426855,215.69828122302803,2485.18269187387,0.26749347636135007,92.0,0.3129386,,1988.8602274426855,0.0,25.687243,32.639637,-99.0,15650000.0,8.65,26.96,11.21195891567599,0.0,0.30894745242576227,0.2671411649667517,0.2937024542087654,1.4,0.0,2009,wheat,UpperEgypt
2010-01-02,0.5743198380566801,5.58404796635482,2317.388275954923,0.0,2068.575250144325,248.8130258105982,2561.4813258145828,0.26126560845639235,94.0,0.3129386,,2068.165913464748,0.409336679576872,25.687243,32.639637,-99.0,15530000.0,10.59,28.33,12.77363760678991,0.0,0.30870201759359644,0.26593428737515035,0.2843055163182546,1.18,0.0,2009,wheat,UpperEgypt
2010-01-03,0.5900769230769229,5.784699652126172,2429.6275567499397,0.0,2145.8073612702733,283.82019547966615,2633.303270328488,0.28273449761254127,96.0,0.3129386,,2142.4813526393236,3.3260086309498402,25.687243,32.639637,-99.0,15770000.0,11.82,27.41,13.86003210705065,0.0,0.33278196912359403,0.28923431436359903,0.30534287411141825,1.61,0.0,2009,wheat,UpperEgypt
2010-01-04,0.6059595141700403,5.976215058753157,2543.958022472778,0.0,2222.1786154112215,321.77940706155664,2702.1250894739796,0.3079156750059699,98.0,0.3129386,,2213.4129847233917,8.76563068782985,25.687243,32.639637,-99.0,16100000.0,9.1,25.96,11.558393550367969,0.0,0.35166974642434856,0.3088877881526972,0.33035634960850996,2.06,0.0,2009,wheat,UpperEgypt
2010-01-05,0.6201538461538461,6.165751854287172,2664.695430772109,0.0,2300.381594089574,364.3138366825353,2770.3953870270116,0.3023247291686261,100.0,0.3129386,,2283.6117978841376,16.76979620543643,25.687243,32.639637,-99.0,16140000.0,7.82,25.31,10.596881220129259,0.0,0.3387997822606548,0.29672042338421345,0.32243677082631833,1.97,0.0,2009,wheat,UpperEgypt
2010-01-06,0.6335668016194331,6.348953315445053,2789.451173614785,0.0,2378.9266663591657,410.5245072556195,2837.0392614563943,0.2857042027173872,100.0,0.3129386,,2351.464190905575,27.462475453590827,25.687243,32.639637,-99.0,16110000.0,9.0,27.98,11.480604779781121,0.0,0.31815325873254063,0.2745606845196712,0.3031148657521204,1.33,0.0,2009,wheat,UpperEgypt
2010-01-07,0.6485384615384615,6.516009163074049,2912.4063945194926,0.0,2454.232793877763,458.17360064172937,2899.228873724172,0.35897465319757654,100.0,0.3129386,,2413.336727064463,40.89606681330008,25.687243,32.639637,-99.0,15470000.0,12.96,30.76,14.93856414235327,0.0,0.404925956135442,0.3605721286089841,0.37917700459120923,2.03,0.0,2009,wheat,UpperEgypt
2010-01-08,0.6662388663967611,6.658955172538417,3028.690567322949,0.0,2523.2306073117484,505.45996001120045,2954.499073939121,0.39902193792022134,100.0,0.3129386,,2466.279693532747,56.950913779001546,25.687243,32.639637,-99.0,16110000.0,12.55,30.27,14.54247782625889,0.0,0.4465483738002297,0.4006920077888303,0.42000546920373794,2.59,0.0,2009,wheat,UpperEgypt
2010-01-09,0.6835748987854251,6.7942688583813275,3148.71725139717,0.0,2591.736904759827,556.9803466373429,3007.408471306837,0.38583003458799087,100.0,0.3129386,,2516.395873474566,75.34103128526108,25.687243,32.639637,-99.0,16200000.0,11.03,30.43,13.15334183374533,0.0,0.41666606479660045,0.3710670583311727,0.404862106372368,2.19,0.0,2009,wheat,UpperEgypt
2010-01-10,0.7003603238866397,6.922598071931418,3273.042856039551,0.0,2659.9453863240806,613.0974697154704,3058.203248934255,0.3168390559952277,100.0,0.3129386,,2563.9252118264517,96.02017449762891,25.687243,32.639637,-99.0,16500000.0,11.33,31.33,13.41788458537033,0.0,0.3505983659613377,0.3036928815576928,0.33155027383899177,1.25,0.0,2009,wheat,UpperEgypt
2010-01-11,0.7176315789473685,7.03801262077907,3397.600296894829,0.0,2725.612017641931,671.9882792528982,3105.370939909673,0.323080725697136,100.0,0.3129386,,2606.671341029286,118.94067661264492,25.687243,32.639637,-99.0,16560000.0,13.11,30.78,15.08582213878125,0.0,0.36861516427823654,0.32107218451788266,0.3372891477086551,1.41,0.0,2009,wheat,UpperEgypt
2010-01-12,0.7354008097165993,7.140609239261999,3522.3028720374614,0.0,2788.6056701019993,733.697201935462,3148.9210921246176,0.3076082222962933,100.0,0.3129386,,2644.670088615555,143.93558148644445,25.687243,32.639637,-99.0,16410000.0,11.36,29.33,13.44459421206312,0.0,0.3470814018203141,0.30119037154496453,0.32050024712368,1.36,0.0,2009,wheat,UpperEgypt
2010-01-13,0.7518744939271256,7.240816842061528,3654.9532773999285,0.0,2852.6051200476422,802.3481573522863,3191.398121412414,0.23897661261782452,100.0,0.3129386,,2681.7840155783438,170.82110446929823,25.687243,32.639637,-99.0,12740000.0,11.19,23.12,13.293855162358131,0.0,0.2625530334002187,0.2289458078208761,0.24853298298346777,1.77,0.0,2009,wheat,UpperEgypt
2010-01-14,0.7657651821862349,7.330949558793043,3789.656320472929,0.0,2914.762063384218,874.8942570887109,3231.0562985926686,0.28973963841108114,100.0,0.3129386,,2715.166503256683,199.59556012753515,25.687243,32.639637,-99.0,16360000.0,8.04,24.37,10.75694877037842,0.0,0.32726691214051673,0.2849247812857459,0.30084776621865117,1.75,0.0,2009,wheat,UpperEgypt
2010-01-15,0.7788866396761135,7.427831163352446,3939.2860028338023,0.0,2981.1533553691925,958.1326474646098,3271.968559516174,0.29930290122166714,100.0,0.3129386,,2751.048579019425,230.1047763497678,25.687243,32.639637,-99.0,16430000.0,9.19,25.18,11.628799510371678,0.0,0.3405783977614746,0.297211688869156,0.3102702170587287,1.79,0.0,2009,wheat,UpperEgypt
2010-01-16,0.7928016194331985,7.512120416886375,4088.318391811009,0.0,3044.7832146133587,1043.5351771976505,3309.8545264910586,0.2669448127651985,100.0,0.3129386,,2782.2668210690285,262.51639354433036,25.687243,32.639637,-99.0,14640000.0,12.6,27.66,14.590281988655029,0.0,0.31325222182826606,0.272461320851809,0.27634953869476775,1.18,0.0,2009,wheat,UpperEgypt
2010-01-17,0.8091012145748989,7.573197891503207,4226.933537492318,0.0,3101.503065955163,1125.4304715371543,3342.3547931179887,0.3700927962100997,100.0,0.3129386,,2804.888107964151,296.61495799101186,25.687243,32.639637,-99.0,15690000.0,15.57,30.0,17.68943415916834,0.11699999999999999,0.41522200111758545,0.3695855416621734,0.38276593392197783,2.42,0.0,2009,wheat,UpperEgypt
2010-01-18,0.8275506072874496,7.615394853484148,4358.8558825400905,0.0,3152.4710236200167,1206.3848589200738,3370.3364898681257,0.3046714242996608,100.0,0.3129386,,2820.5166124015363,331.9544112184803,25.687243,32.639637,-99.0,16880000.0,10.27,20.79,12.503574240382129,0.11100000000000002,0.3396175028524651,0.2965381016351436,0.3149015024072958,4.24,0.0,2009,wheat,UpperEgypt
2010-01-19,0.8401255060728746,7.674792718244914,4521.134238720961,0.0,3210.676065198777,1310.4581735221839,3400.8057679744293,0.2642779765148136,100.0,0.3129386,,2842.5158215721913,368.16024362658595,25.687243,32.639637,-99.0,16800000.0,7.12,20.25,10.101437042756121,0.0,0.285693261537148,0.24452019664449853,0.2729100570373594,2.12,0.0,2009,wheat,UpperEgypt
2010-01-20,0.8512064777327937,7.729483716078942,4690.916112061706,0.0,3268.3699391503783,1422.546172911328,3429.9602066669763,0.29890029282340735,100.0,0.3129386,,2862.7717466959057,405.59819245447267,25.687243,32.639637,-99.0,15810000.0,7.9,22.25,10.65484329907472,0.0,0.3316942960402891,0.2917347977277182,0.30841833741366526,2.46,0.0,2009,wheat,UpperEgypt
2010-01-21,0.8634129554655872,7.7712176553071,4858.131666327207,0.0,3322.4123815224693,1535.7192848047382,3456.369483962854,0.27369421731161153,100.0,0.3129386,,2878.2287612248538,444.1836202976154,25.687243,32.639637,-99.0,16940000.0,7.24,20.87,10.184892685954441,0.0,0.2992042025181813,0.2573384718329287,0.2822423966679092,2.09,0.0,2009,wheat,UpperEgypt
2010-01-22,0.8747935222672066,7.807330749461851,5031.460709415899,0.0,3375.257038422532,1656.2036709933673,3481.1771490664714,0.2823893976611491,100.0,0.3129386,,2891.6039812821687,483.65305714036316,25.687243,32.639637,-99.0,17500000.0,7.06,22.67,10.05993552725143,0.0,0.31892640179495285,0.2748957305600118,0.2910626129255947,1.67,0.0,2009,wheat,UpperEgypt
2010-01-23,0.8868299595141702,7.833012343365791,5204.324724956881,0.0,3425.0089817455796,1779.315743211302,3503.589529666173,0.31270887383896884,100.0,0.3129386,,2901.115682728072,523.8932990175076,25.687243,32.639637,-99.0,17520000.0,10.15,24.64,12.40360232370569,0.0,0.34906752966732807,0.3026338396233307,0.32219960534428527,1.98,0.0,2009,wheat,UpperEgypt
2010-01-24,0.9009149797570852,7.8440846182655,5370.744378249932,0.0,3469.901525426103,1900.8428528238296,3522.852050573627,0.3343563931407538,100.0,0.3129386,,2905.2165252835193,564.6850001425839,25.687243,32.639637,-99.0,17520000.0,7.47,23.2,10.34654810690846,0.0,0.3825952418976949,0.33806678553846337,0.3444521695844001,2.56,0.0,2009,wheat,UpperEgypt
2010-01-25,0.9133319838056683,7.851821686274513,5547.297167381816,0.0,3513.7974093669054,2033.4997580149104,3540.4899938364133,0.3104898827564665,100.0,0.3129386,,2908.0821060275994,605.7153033393063,25.687243,32.639637,-99.0,17760000.0,5.76,19.75,9.19685242681335,0.0,0.34806971881132304,0.3054769389988553,0.3198314532928391,3.18,0.0,2009,wheat,UpperEgypt
2010-01-26,0.9236599190283403,7.856796816372393,5734.425855912281,0.0,3556.8373865319254,2177.588469380356,3556.6395744663323,0.30074225797245363,100.0,0.3129386,,2909.9247468045915,646.9126397273341,25.687243,32.639637,-99.0,17660000.0,5.24,20.66,8.870332450553386,0.0,0.3426954352980518,0.30014657282548945,0.3097697139328509,2.37,0.0,2009,wheat,UpperEgypt
2010-01-27,0.9341457489878545,7.854731124453121,5923.413691783155,0.0,3597.3771901585746,2326.0365016245796,3570.85974731976,0.2885646486273091,100.0,0.3129386,,2909.1596757233797,688.2175144351951,25.687243,32.639637,-99.0,16390000.0,7.91,24.14,10.662108146807011,0.0,0.33318989793947906,0.29092679846795233,0.29723486379052866,1.55,0.0,2009,wheat,UpperEgypt
2010-01-28,0.9471214574898789,7.839823244168835,6103.203043146536,0.0,3633.1159649059055,2470.087078240631,3582.41024453529,0.32956969721858603,100.0,0.3129386,,2903.638238581052,729.4777263248533,25.687243,32.639637,-99.0,18450000.0,9.94,27.33,12.23034166154537,0.0,0.37379279002338056,0.32373464075611785,0.3395406199076,1.48,0.0,2009,wheat,UpperEgypt
2010-01-29,0.9622105263157897,7.812224061239376,6274.4994245194,0.0,3663.832457519574,2610.6669669998264,3591.136291180281,0.3201348825763078,100.0,0.3129386,,2893.416318977548,770.4161385420259,25.687243,32.639637,-99.0,18360000.0,12.3,29.1,14.30551404412208,0.0,0.37513682111969193,0.3234838888782343,0.32994511023844175,1.15,0.0,2009,wheat,UpperEgypt
