day,DVS,LAI,TAGP,TWSO,TWLV,TWST,TWRT,TRA,RD,SM,WWLOW,LAT,LON,ELEV,IRRAD,TMIN,TMAX,VAP,RAIN,E0,ES0,ET0,WIND,SNOWDEPTH,year,crop,site
2014-11-25,0.0,0.043648289926511236,31.67510154318667,0.0,20.588816003071337,11.086285540115334,31.675101543186667,0.005598345320411927,14.799999999999997,0.3129386,,31.0,31.0,-99.0,9640000.0,14.94,20.3,13.13586977120734,0.292,0.3281611277480969,0.30250062448325127,0.28783135525489567,3.88,0.0,2014,wheat,NileDelta
2014-11-26,0.0,0.04654518552298609,33.77734798475043,0.0,21.95527619008778,11.82207179466265,33.77734798475043,0.008109802721759294,15.999999999999996,0.3129386,,31.0,31.0,-99.0,8910000.0,14.72,20.21,11.326407811431281,0.065,0.44016488038296375,0.4165183991020184,0.3912580562242199,5.68,0.0,2014,wheat,NileDelta
2014-11-27,0.0,0.04943275663868053,35.87282774940532,0.0,23.31733803711346,12.555489712291863,35.87282774940532,0.006501736662920168,17.199999999999996,0.3129386,,31.0,31.0,-99.0,6870000.0,14.95,19.62,12.67176892846476,0.05400000000000001,0.3364408019321959,0.31827203655984804,0.2955448947821482,4.51,0.0,2014,wheat,NileDelta
2014-11-28,0.0,0.051792988643058244,37.58562310816998,0.0,24.43065502031049,13.154968087859494,37.58562310816998,0.006004077556360512,18.399999999999995,0.3129386,,31.0,31.0,-99.0,12300000.0,13.84,21.92,12.72261364266376,0.002,0.2656765922205694,0.23277228575215586,0.2606237534070278,2.3,0.0,2014,wheat,NileDelta
2014-11-29,0.0,0.05586639785787348,40.541653017324734,0.0,26.352074461261076,14.189578556063656,40.541653017324734,0.0053776687619566345,19.599999999999994,0.3129386,,31.0,31.0,-99.0,10280000.0,15.88,21.65,15.36411608319747,0.093,0.2561421536398649,0.22818413219938863,0.2166099905332784,2.14,0.0,2014,wheat,NileDelta
2014-11-30,0.0,0.0597364446775612,43.35010499097329,0.0,28.177568244132637,15.172536746840652,43.35010499097329,0.006354263551395041,20.799999999999994,0.3129386,,31.0,31.0,-99.0,11760000.0,14.98,22.59,15.515047485173401,0.015,0.2613220784985326,0.2293272842560498,0.23957278675199464,2.54,0.0,2014,wheat,NileDelta
2014-12-01,0.0,0.06427055997282581,46.64046442149913,0.0,30.31630187397444,16.324162547524697,46.64046442149914,0.006548784302804087,21.999999999999993,0.3129386,,31.0,31.0,-99.0,11620000.0,15.43,24.09,15.57578341061305,0.0,0.2513229870808008,0.2191535564348094,0.22972128189867885,1.74,0.0,2014,wheat,NileDelta
2014-12-02,0.0,0.06906646739339217,50.120803623651796,0.0,32.578522355373664,17.542281268278128,50.120803623651796,0.007089020327623605,23.199999999999992,0.3129386,,31.0,31.0,-99.0,10870000.0,14.42,24.33,14.98750930705772,0.0,0.253126089629576,0.22323655924970046,0.23165298560127473,1.81,0.0,2014,wheat,NileDelta
2014-12-03,0.0,0.074009736729973,53.70808180694703,0.0,34.91025317451557,18.79782863243146,53.70808180694703,0.007589054616271758,24.39999999999999,0.3129386,,31.0,31.0,-99.0,6660000.0,13.77,25.2,14.062675343055451,0.0,0.2565343182444485,0.2381853688134073,0.23168514485152586,1.84,0.0,2014,wheat,NileDelta
2014-12-04,0.0,0.0773385467865175,56.12376399602141,0.0,36.480446597413916,19.643317398607497,56.12376399602141,0.010886315315522197,25.59999999999999,0.3129386,,31.0,31.0,-99.0,11690000.0,14.91,27.89,11.77074415353724,0.0,0.3103577114497023,0.2770880664511022,0.31827879441476603,1.84,0.0,2014,wheat,NileDelta
