NAME_0,GID_0,GYGA_CZ,ID,irrigated,rainfed,per_irrigated,per_rainfed
Egypt,EGY,7002,57448,834840.3006100655,315184.4992623776,72.59324322034779,27.406756714448726
Egypt,EGY,8002,59405,81560.20033538342,53429.600032001734,60.41952803416254,39.580471893312996
