crop,year,Governorates,variety,land_type,Area_ha,Yield_tonha,Prod_ton
Irrigated wheat,2013,Alexandria,Egaseed21 ,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Egaseed21,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Egaseed21,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Egaseed22,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Egaseed22 ,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Egaseed22,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Egaseed22,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 12,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 12,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 12,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Gemmeza 15,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Gemmeza 15,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Gemmeza 15,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 7,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 7,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 7,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Suhag 5,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Suhag 5 ,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Suhag 5,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Suhag 5,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef 2,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef 2,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef 2,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Shandaweel 1,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Shandaweel 1,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Shandaweel 1,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 164,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 164,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 164,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 1,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 1,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 1,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Sakha 61,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Sakha 61,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Sakha 61,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Egaseed 7,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Egaseed 7,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Egaseed 7,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 160,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 160,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 160,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 176,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 176,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Giza 176,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Sakha 69,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Sakha 69,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Sakha 69,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Gemmeza 7,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Gemmeza 7,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Gemmeza 7,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 1,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 1,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 1,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 2,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 2,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 2,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 13,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 13,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 13,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef 3,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef 3,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef 3,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Suhag 1,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Suhag 1 ,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Suhag 1,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Suhag 1,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Balady,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Balady,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Balady,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Local Broken,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Local Broken,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Local Broken,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 5,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 5,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 5,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef 4,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef 4,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef 4,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Gemmeza 1,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Gemmeza 1,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Gemmeza 1,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 11,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 11,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 11,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 22,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 22,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 22,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 12,Old Land,14177.1,7.1761537973210325,101737.05
Irrigated wheat,2013,Assuit,Seds 12,New Land,760.1999999999999,4.95303867403315,3765.2999999999997
Irrigated wheat,2013,Assuit,Seds 12,Tota,14937.3,7.06301339599526,105502.34999999999
Irrigated wheat,2013,Assuit,Masr 1,Old Land,3517.92,6.803579956337836,23934.45
Irrigated wheat,2013,Assuit,Masr 1,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Masr 1,Tota,3517.92,6.803579956337836,23934.45
Irrigated wheat,2013,Assuit,Giza 168,Old Land,16538.76,7.018059395021151,116070
Irrigated wheat,2013,Assuit,Giza 168,New Land,2032.8,4.642857142857143,9438
Irrigated wheat,2013,Assuit,Giza 168,Tota,18571.559999999998,6.7580752505443815,125508
Irrigated wheat,2013,Assuit,Gemmeza 11,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 11,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 11,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 5,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 5,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 5,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Sakha 95,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Sakha 95,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Sakha 95,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Masr 2,Old Land,609.84,6.760871704053522,4123.05
Irrigated wheat,2013,Assuit,Masr 2,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Masr 2,Tota,609.84,6.760871704053522,4123.05
Irrigated wheat,2013,Assuit,Sakha 93,Old Land,5239.5,7.365187517892929,38589.9
Irrigated wheat,2013,Assuit,Sakha 93,New Land,2439.36,4.993420405352224,12180.75
Irrigated wheat,2013,Assuit,Sakha 93,Tota,7678.86,6.611743149373735,50770.65
Irrigated wheat,2013,Assuit,Sakha 94,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Sakha 94,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Sakha 94,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 9,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 9,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 9,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 171,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 171,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Giza 171,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 1,Old Land,16967.579999999998,7.5893940090454866,128773.65
Irrigated wheat,2013,Assuit,Beni Suef 1,New Land,1911.84,4.550354632186794,8699.55
Irrigated wheat,2013,Assuit,Beni Suef 1,Tota,18879.42,7.281643186072453,137473.19999999998
Irrigated wheat,2013,Assuit,Shandaweel,Old Land,1.68,7.232142857142858,12.15
Irrigated wheat,2013,Assuit,Shandaweel,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Shandaweel,Tota,1.68,7.232142857142858,12.15
Irrigated wheat,2013,Assuit,Gemmeza 12,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 12,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 12,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 10,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 10,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 10,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Egaseed,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Egaseed,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Egaseed,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag 4,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag 4,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag 4,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 6,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 6,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 6,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Others,Old Land,2892.54,6.724833537306312,19451.85
Irrigated wheat,2013,Assuit,Others,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Others,Tota,2892.54,6.724833537306312,19451.85
Irrigated wheat,2013,Assuit,Suhag 3,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag 3s,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag 3,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag 3,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag ,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Suhag,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Egaseed21,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Egaseed21 ,New Land,NA,NA,NA
