crop,year,subregion,area_ha,production_t,yield_tha
Irrigated wheat,2015,Qena,45149.159999999996,273152.4,5.996696173418131
Irrigated wheat,2015,Sharkia,175039.19999999998,1256531.4,7.264139469324248
Irrigated wheat,2015,South Sinai,400.26,1429.5,3.5714285714285716
Irrigated wheat,2015,Suez,2552.34,15997.65,6.274660356382095
Irrigated wheat,2015,Suhag,80406.06,534413.1,6.653647570195875
Irrigated wheat,2016,Alexandria,34185.06,198029.1,5.4865033060292046
Irrigated wheat,2016,Assuit,96624.36,624607.5,6.468733665642418
Irrigated wheat,2016,Aswan,23525.04,143586.75,6.105508452620125
Irrigated wheat,2016,Behera,158752.02,1051165.2,6.454488748597887
Irrigated wheat,2016,Beni Suef,55579.439999999995,412677.3,7.184045068988012
Irrigated wheat,2016,Cairo,27.72,165.29999999999998,5.963203463203463
Irrigated wheat,2016,Dakahlia,112707,825981.2999999999,7.195801288652803
Irrigated wheat,2016,Damietta,12055.68,74917.5,6.119061464921815
Irrigated wheat,2016,Fayoum,76143.48,498739.8,6.532731017435601
Irrigated wheat,2016,Gharbia,63813.54,410685.74999999994,6.375631212354558
Irrigated wheat,2016,Giza,13430.34,98377.2,7.20797063706735
Irrigated wheat,2016,Ismailia,18700.5,115342.05,6.178755574111357
Irrigated wheat,2016,Kafr-Elsheikh,98767.2,631757.4,6.370661332262245
Irrigated wheat,2016,Luxor,16212.42,99185.25,6.088157412011562
Irrigated wheat,2016,Matruh,7516.74,33932.7,4.560609212793679
Irrigated wheat,2016,Menia,98433.3,689033.1,7.031155105904092
Irrigated wheat,2016,Menoufia,54547.5,402092.99999999994,7.424968348111773
Irrigated wheat,2016,New valley,78067.92,460879.5,5.602420328514202
Irrigated wheat,2016,North Sinai,318.78,1135.9499999999998,2.9688408606319054
Irrigated wheat,2016,Noubaria,60144,389217.6,6.436635882489862
Irrigated wheat,2016,Port Said,4312.139999999999,28491,6.607160249899122
Irrigated wheat,2016,Qalyoubia,22807.68,151508.1,6.589866837199015
Irrigated wheat,2016,Qena,43845.06,276847.64999999997,6.31699155756656
Irrigated wheat,2016,Sharkia,171826.19999999998,1173941.0999999999,6.692084260134463
Irrigated wheat,2016,Suez,1869.84,12234.15,6.235830476250263
Irrigated wheat,2016,Suhag,84110.45999999999,538006.5,6.325027914838714
Irrigated wheat,2017,Alexandria,31766.699999999997,201550.95,6.401471957946942
Irrigated wheat,2017,Assuit,88517.52,629429.4,7.137594486199824
Irrigated wheat,2017,Aswan,22278.059999999998,149127.9,6.748459578693958
Irrigated wheat,2017,Behera,129603.59999999999,914553.75,7.0345229174143
Irrigated wheat,2017,Beni Suef,50362.2,355760.69999999995,6.952882475143324
Irrigated wheat,2017,Dakahlia,79343.45999999999,621858.3,7.844533612800044
Irrigated wheat,2017,Damietta,8750.7,58212.299999999996,6.638599997624935
Irrigated wheat,2017,Fayoum,77580.3,497202.14999999997,6.398669683326935
Irrigated wheat,2017,Gharbia,43469.58,292332.89999999997,6.673867580595088
Irrigated wheat,2017,Giza,17519.879999999997,135020.09999999998,7.506972250330392
Irrigated wheat,2017,Ismailia,14419.859999999999,92832,6.430437577209478
Irrigated wheat,2017,Kafr-Elsheikh,86621.64,562756.0499999999,6.4823110374482935
Irrigated wheat,2017,Luxor,13246.8,76522.05,6.32147264512191
Irrigated wheat,2017,Matruh,3934.14,22621.35,5.528237649247539
Irrigated wheat,2017,Menia,96927.59999999999,685084.65,7.259135250615493
Irrigated wheat,2017,Menoufia,51140.46,389946,7.618507096462306
Irrigated wheat,2017,New valley,64011.36,385668.45,6.017596589975299
Irrigated wheat,2017,North Sinai,1457.4,3201.6,2.6643467643467647
Irrigated wheat,2017,Noubaria,48029.1,273078.75,6.153117943043953
Irrigated wheat,2017,Port Said,5084.5199999999995,34483.95,6.782144627221449
Irrigated wheat,2017,Qalyoubia,21091.14,147939.3,6.872497215673062
Irrigated wheat,2017,Qena,38060.82,244032.9,6.41792802770059
Irrigated wheat,2017,Sharkia,150180.66,1032015.6,6.889672741901253
Irrigated wheat,2017,Suez,2268.42,14370.75,6.6479177343088685
Irrigated wheat,2017,Suhag,81454.37999999999,547949.7,6.710303885161111
Irrigated wheat,2018,Alexandria,59865.153333333335,176065.65,5.749895459273453
Irrigated wheat,2018,Assuit,122236.00380952381,579375.45,5.9059311078745855
Irrigated wheat,2018,Aswan,71054.19428571429,141011.4,5.539339824127502
Irrigated wheat,2018,Behera,192929.8980952381,961685.1,6.113217218136663
Irrigated wheat,2018,Beni Suef,73929.64571428571,348179.1,6.300969324898762
Irrigated wheat,2018,Dakahlia,117295.64761904761,697375.2,6.441626208555382
Irrigated wheat,2018,Damietta,26036.174285714285,65491.65,5.544320055855512
Irrigated wheat,2018,Fayoum,96492.41714285714,506598.75,5.898067458246709
Irrigated wheat,2018,Gharbia,59374.886666666665,340106.69999999995,5.6331790006252715
Irrigated wheat,2018,Giza,25433.51714285714,98690.7,6.479333630476042
Irrigated wheat,2018,Ismailia,21841.80285714286,98659.8,5.518832120348941
Irrigated wheat,2018,Kafr-Elsheikh,171106.78761904762,589566.75,5.358980399956654
Irrigated wheat,2018,Luxor,91395.51904761905,98026.5,5.628021228094741
Irrigated wheat,2018,Menia,109760.15333333334,631829.4,6.093258065439621
Irrigated wheat,2018,Menoufia,71471.81238095238,383479.5,6.837690786600805
Irrigated wheat,2018,New valley,92098.72380952381,439186.05,5.225214443135744
Irrigated wheat,2018,North Sinai,18.9,41.55,2.1984126984126986
Irrigated wheat,2018,Noubaria,67281.93238095238,253659.15,5.444122883194526
Irrigated wheat,2018,Port Said,5605.74,33454.2,5.967847242290938
Irrigated wheat,2018,Qalyoubia,26775.349523809524,134758.94999999998,6.456350523738061
Irrigated wheat,2018,Qena,156656.29428571428,282093.45,5.792477311658406
Irrigated wheat,2018,Sharkia,175021.72285714286,906557.1,5.471105831939596
Irrigated wheat,2018,South Sinai,402.78,1711.8,4.249962758826158
Irrigated wheat,2018,Suez,2397.36,14547.15,5.851240877606647
Irrigated wheat,2018,Suhag,138962.3180952381,521530.94999999995,5.648320649079712
Irrigated wheat,2019,Alexandria,28443.239999999998,176592.15,6.276727458821204
Irrigated wheat,2019,Assuit,94717.14,651609,6.938926933949205
Irrigated wheat,2019,Aswan,23662.8,156171.15,6.626378294287486
Irrigated wheat,2019,Behera,143390.1,925729.7999999999,6.4629698471217205
Irrigated wheat,2019,Beni Suef,46175.64,320996.85,6.5901900486259635
Irrigated wheat,2019,Cairo,8.82,44.55,5.051020408163265
Irrigated wheat,2019,Dakahlia,93899.4,622830,6.610682391646694
Irrigated wheat,2019,Damietta,10081.26,62611.49999999999,6.238806150920579
Irrigated wheat,2019,Fayoum,75434.09999999999,478525.94999999995,6.374856844986686
Irrigated wheat,2019,Gharbia,54636.54,354488.85,6.454972526284429
Irrigated wheat,2019,Giza,13321.14,93157.8,6.974633950463473
Irrigated wheat,2019,Ismailia,16695.42,109480.2,6.548350397206751
Irrigated wheat,2019,Kafr-Elsheikh,91187.04,535650.9,5.87583264448678
Irrigated wheat,2019,Luxor,16979.76,100331.7,5.78533855480198
Irrigated wheat,2019,Matruh,6446.16,38032.35,5.900000930786701
Irrigated wheat,2019,Menia,90853.98,624904.5,6.978247219946068
Irrigated wheat,2019,Menoufia,53643.24,372093.45,6.958295842828526
Irrigated wheat,2019,New valley,84913.92,513341.99999999994,5.8874587499143205
Irrigated wheat,2019,North Sinai,15.54,33.449999999999996,2.1525096525096528
Irrigated wheat,2019,Noubaria,45584.28,287489.25,6.317465909487498
Irrigated wheat,2019,Port Said,5295.36,31639.8,5.975004532269761
Irrigated wheat,2019,Qalyoubia,21303.239999999998,144876.6,6.797791649959301
Irrigated wheat,2019,Qena,43030.259999999995,277232.4,6.509139119441953
Irrigated wheat,2019,Sharkia,151825.38,959380.7999999999,6.352308543826505
Irrigated wheat,2019,South Sinai,263.34,1086.3,4.125085440874915
Irrigated wheat,2019,Suez,2484.72,16055.699999999999,6.355860281968628
Irrigated wheat,2019,Suhag,83253.23999999999,578463.3,6.804716351970299
